;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
0;frozenset({'DAGING AYAM FILLET DADA KG'});frozenset({'DAGING AYAM FILLET PAHA KG'});0.07884108867427568;0.07251975417032484;0.019841966637401228;0.25167037861915365;3.4703699908863923;0.014124430268221973;1.2394006856473931
1;frozenset({'DAGING AYAM FILLET PAHA KG'});frozenset({'DAGING AYAM FILLET DADA KG'});0.07251975417032484;0.07884108867427568;0.019841966637401228;0.2736077481840194;3.470369990886393;0.014124430268221973;1.2681287679250806
6;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.03037752414398595;0.041264266900790166;0.01527655838454785;0.5028901734104047;12.187061862009594;0.014023052120485215;1.928619556118178
7;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.041264266900790166;0.03037752414398595;0.01527655838454785;0.37021276595744684;12.187061862009594;0.014023052120485215;1.5396032555821844
2;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.041264266900790166;0.030026338893766463;0.015100965759438104;0.36595744680851067;12.187881050143089;0.013861950897272147;1.5298242306037912
3;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.030026338893766463;0.041264266900790166;0.015100965759438104;0.5029239766081871;12.187881050143089;0.013861950897272147;1.9287507101172336
4;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});0.041264266900790166;0.03301141352063213;0.014925373134328358;0.3617021276595745;10.956880941602536;0.01356318135604064;1.514948785484343
5;frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.03301141352063213;0.041264266900790166;0.014925373134328358;0.4521276595744681;10.956880941602536;0.01356318135604064;1.7499254157538975
10;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.03037752414398595;0.030026338893766463;0.012115891132572432;0.3988439306358382;13.283135584626306;0.011203765297871537;1.6135138785709464
11;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.030026338893766463;0.03037752414398595;0.012115891132572432;0.40350877192982454;13.283135584626306;0.011203765297871537;1.6255435624644938
12;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});0.03037752414398595;0.03301141352063213;0.011237928007023706;0.36994219653179194;11.206493666215719;0.010235122995773598;1.534761701476428
13;frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.03301141352063213;0.03037752414398595;0.011237928007023706;0.34042553191489366;11.206493666215719;0.010235122995773598;1.4700727859752472
8;frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.03301141352063213;0.030026338893766463;0.010184372256365233;0.3085106382978724;10.274667164364814;0.00919316036663247;1.4027311406767071
9;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});0.030026338893766463;0.03301141352063213;0.010184372256365233;0.33918128654970764;10.274667164364814;0.00919316036663247;1.4633190113979817
