;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
0;frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});frozenset({'BUAH PEAR RRC SWEET ONS'});0.05297473512632437;0.027709861450692746;0.010594947025264874;0.2;7.21764705882353;0.00912702445452728;1.215362673186634
1;frozenset({'BUAH PEAR RRC SWEET ONS'});frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});0.027709861450692746;0.05297473512632437;0.010594947025264874;0.3823529411764706;7.2176470588235295;0.00912702445452728;1.5332790002716652
2;frozenset({'DAGING AYAM FILLET DADA KG'});frozenset({'DAGING AYAM FILLET PAHA KG'});0.04726976365118175;0.04645476772616137;0.010594947025264874;0.22413793103448276;4.82486388384755;0.008399041134378681;1.2290138549307252
3;frozenset({'DAGING AYAM FILLET PAHA KG'});frozenset({'DAGING AYAM FILLET DADA KG'});0.04645476772616137;0.04726976365118175;0.010594947025264874;0.2280701754385965;4.82486388384755;0.008399041134378681;1.23421871527006
4;frozenset({'PROMO (DORI FILLET 500GR)'});frozenset({'JSM (BELI 1 GRATIS 1SOSIS SAPI ABBYS 200GR)'});0.026079869600651995;0.02444987775061125;0.010594947025264874;0.40625000000000006;16.615625;0.00995729740177705;1.6430317848410758
5;frozenset({'JSM (BELI 1 GRATIS 1SOSIS SAPI ABBYS 200GR)'});frozenset({'PROMO (DORI FILLET 500GR)'});0.02444987775061125;0.026079869600651995;0.010594947025264874;0.4333333333333333;16.615624999999998;0.00995729740177705;1.718682583057673
