;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
15;frozenset({'BUAH PEAR RRC SWEET ONS'});frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});0.027709861450692746;0.05297473512632437;0.010594947025264874;0.3823529411764706;7.2176470588235295;0.00912702445452728;1.5332790002716652
38;frozenset({'JSM (BELI 1 GRATIS 1SOSIS SAPI ABBYS 200GR)'});frozenset({'PROMO (DORI FILLET 500GR)'});0.02444987775061125;0.026079869600651995;0.010594947025264874;0.4333333333333333;16.615624999999998;0.00995729740177705;1.718682583057673
14;frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});frozenset({'BUAH PEAR RRC SWEET ONS'});0.05297473512632437;0.027709861450692746;0.010594947025264874;0.2;7.21764705882353;0.00912702445452728;1.215362673186634
39;frozenset({'PROMO (DORI FILLET 500GR)'});frozenset({'JSM (BELI 1 GRATIS 1SOSIS SAPI ABBYS 200GR)'});0.026079869600651995;0.02444987775061125;0.010594947025264874;0.40625000000000006;16.615625;0.00995729740177705;1.6430317848410758
8;frozenset({'DAGING AYAM FILLET PAHA KG'});frozenset({'DAGING AYAM FILLET DADA KG'});0.04645476772616137;0.04726976365118175;0.010594947025264874;0.2280701754385965;4.82486388384755;0.008399041134378681;1.23421871527006
9;frozenset({'DAGING AYAM FILLET DADA KG'});frozenset({'DAGING AYAM FILLET PAHA KG'});0.04726976365118175;0.04645476772616137;0.010594947025264874;0.22413793103448276;4.82486388384755;0.008399041134378681;1.2290138549307252
12;frozenset({'DAGING SAPI IGA SPECIAL 250GR'});frozenset({'DAGING SAPI BUNTUT SPECIAL 250GR'});0.03015484922575387;0.022819885900570498;0.008964955175224124;0.29729729729729726;13.027992277992276;0.008276824956543513;1.3906024700645727
17;frozenset({'PROMO (DORI FILLET 500GR)'});frozenset({'JSM (BUAH APEL FUJI ONS)'});0.026079869600651995;0.022819885900570498;0.008964955175224124;0.34375;15.063616071428571;0.008369815526635488;1.4890363643419877
16;frozenset({'JSM (BUAH APEL FUJI ONS)'});frozenset({'PROMO (DORI FILLET 500GR)'});0.022819885900570498;0.026079869600651995;0.008964955175224124;0.39285714285714285;15.063616071428571;0.008369815526635488;1.6041037441871613
31;frozenset({'BUAH PEAR YALIE ONS'});frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});0.018744906275468622;0.05297473512632437;0.008964955175224124;0.4782608695652174;9.02809364548495;0.007971948730313398;1.8151317576745452
13;frozenset({'DAGING SAPI BUNTUT SPECIAL 250GR'});frozenset({'DAGING SAPI IGA SPECIAL 250GR'});0.022819885900570498;0.03015484922575387;0.008964955175224124;0.39285714285714285;13.027992277992277;0.008276824956543513;1.5973920130399346
30;frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});frozenset({'BUAH PEAR YALIE ONS'});0.05297473512632437;0.018744906275468622;0.008964955175224124;0.1692307692307692;9.02809364548495;0.007971948730313398;1.1811403905943432
18;frozenset({'JSM (BUAH APEL FUJI ONS)'});frozenset({'JSM (BELI 1 GRATIS 1SOSIS SAPI ABBYS 200GR)'});0.022819885900570498;0.02444987775061125;0.008149959250203748;0.3571428571428571;14.607142857142854;0.0075920158296519024;1.5175224123879378
19;frozenset({'JSM (BELI 1 GRATIS 1SOSIS SAPI ABBYS 200GR)'});frozenset({'JSM (BUAH APEL FUJI ONS)'});0.02444987775061125;0.022819885900570498;0.008149959250203748;0.33333333333333326;14.607142857142854;0.0075920158296519024;1.4657701711491442
11;frozenset({'DAGING AYAM FILLET PAHA 500GR'});frozenset({'DAGING AYAM FILLET DADA 500GR'});0.02852485737571312;0.05215973920130399;0.007334963325183374;0.2571428571428572;4.9299107142857155;0.005847114203711785;1.275938812613629
22;frozenset({'INDOMIE MIE GORENG 85GR'});frozenset({'TELUR AYAM NEGERI 1PACK (ISI 15 BUTIR)'});0.02852485737571312;0.07253463732681337;0.007334963325183374;0.2571428571428572;3.545104333868379;0.005265923140636945;1.248511065136982
10;frozenset({'DAGING AYAM FILLET DADA 500GR'});frozenset({'DAGING AYAM FILLET PAHA 500GR'});0.05215973920130399;0.02852485737571312;0.007334963325183374;0.140625;4.929910714285715;0.005847114203711785;1.130443802326443
23;frozenset({'TELUR AYAM NEGERI 1PACK (ISI 15 BUTIR)'});frozenset({'INDOMIE MIE GORENG 85GR'});0.07253463732681337;0.02852485737571312;0.007334963325183374;0.10112359550561797;3.545104333868379;0.005265923140636945;1.0807660961695191
43;frozenset({'AYAM KALASAN POTONG 4 - RTC'});frozenset({'[PO] DAGING EMPAL GEPUK (180-250gr) - RTC'});0.008149959250203748;0.022819885900570498;0.007334963325183374;0.9;39.43928571428572;0.007148982184999425;9.771801140994297
42;frozenset({'[PO] DAGING EMPAL GEPUK (180-250gr) - RTC'});frozenset({'AYAM KALASAN POTONG 4 - RTC'});0.022819885900570498;0.008149959250203748;0.007334963325183374;0.3214285714285714;39.43928571428572;0.007148982184999425;1.4616737442628576
41;frozenset({'DAGING AYAM FILLET DADA 500GR'});frozenset({'DAGING AYAM KARKAS 900GR'});0.05215973920130399;0.027709861450692746;0.006519967400162999;0.125;4.511029411764706;0.0050746282535905985;1.1111887297706369
40;frozenset({'DAGING AYAM KARKAS 900GR'});frozenset({'DAGING AYAM FILLET DADA 500GR'});0.027709861450692746;0.05215973920130399;0.006519967400162999;0.23529411764705882;4.511029411764706;0.0050746282535905985;1.2394834179675256
36;frozenset({'PROMO (DORI FILLET 500GR)'});frozenset({'JSM (BUAH JERUK PONKAM ONS)'});0.026079869600651995;0.011409942950285249;0.006519967400162999;0.25;21.910714285714285;0.006222397575868681;1.3181200760662863
24;frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});frozenset({'BUAH JERUK MANDARIN PAKISTAN ONS'});0.05297473512632437;0.02526487367563162;0.006519967400162999;0.12307692307692307;4.871464019851117;0.005181567409196368;1.1115400563348061
25;frozenset({'BUAH JERUK MANDARIN PAKISTAN ONS'});frozenset({'BUAH APEL FUJI PREMIUM RRC ONS'});0.02526487367563162;0.05297473512632437;0.006519967400162999;0.25806451612903225;4.871464019851117;0.005181567409196368;1.27642535700365
35;frozenset({'JSM (BUAH JERUK PONKAM ONS)'});frozenset({'JSM (BUAH APEL FUJI ONS)'});0.011409942950285249;0.022819885900570498;0.006519967400162999;0.5714285714285714;25.04081632653061;0.006259593803905471;2.280086932898669
34;frozenset({'JSM (BUAH APEL FUJI ONS)'});frozenset({'JSM (BUAH JERUK PONKAM ONS)'});0.022819885900570498;0.011409942950285249;0.006519967400162999;0.2857142857142857;25.04081632653061;0.006259593803905471;1.3840260798696005
37;frozenset({'JSM (BUAH JERUK PONKAM ONS)'});frozenset({'PROMO (DORI FILLET 500GR)'});0.011409942950285249;0.026079869600651995;0.006519967400162999;0.5714285714285714;21.910714285714285;0.006222397575868681;2.2724803042651454
44;frozenset({'SALMON FILLET PREMIUM ONS'});frozenset({'DAGING DORI FILLET 500GR'});0.02444987775061125;0.04482477587612062;0.0057049714751426246;0.23333333333333334;5.205454545454546;0.0046090111847729275;1.2458807271181036
33;frozenset({'INDOMIE MIE KALDU AYAM 75GR'});frozenset({'INDOMIE MIE GORENG 85GR'});0.012224938875305624;0.02852485737571312;0.0057049714751426246;0.4666666666666667;16.36;0.005356256837297721;1.821515892420538
32;frozenset({'INDOMIE MIE GORENG 85GR'});frozenset({'INDOMIE MIE KALDU AYAM 75GR'});0.02852485737571312;0.012224938875305624;0.0057049714751426246;0.2;16.36;0.005356256837297721;1.234718826405868
0;frozenset({'GULA PASIR 1KG'});frozenset({'TELUR AYAM NEGERI 1PACK (ISI 15 BUTIR)'});0.04156479217603912;0.07253463732681337;0.0057049714751426246;0.13725490196078433;1.8922670191672175;0.002690084349089257;1.0750166703711934
29;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.013854930725346373;0.014669926650366748;0.0057049714751426246;0.411764705882353;28.068627450980394;0.005501720657655881;1.675061124694377
28;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.014669926650366748;0.013854930725346373;0.0057049714751426246;0.3888888888888889;28.068627450980394;0.005501720657655881;1.6136919315403422
27;frozenset({'DAGING SAPI TENDERLOIN / HAS DALAM 250GR'});frozenset({'PROMO (DAGING SAPI GILING 500GR + BUNTUT SPECIAL 500GR)'});0.061124694376528114;0.007334963325183374;0.0057049714751426246;0.09333333333333334;12.724444444444446;0.0052566240836277485;1.094851143391342
26;frozenset({'PROMO (DAGING SAPI GILING 500GR + BUNTUT SPECIAL 500GR)'});frozenset({'DAGING SAPI TENDERLOIN / HAS DALAM 250GR'});0.007334963325183374;0.061124694376528114;0.0057049714751426246;0.7777777777777778;12.724444444444446;0.0052566240836277485;4.224938875305623
1;frozenset({'TELUR AYAM NEGERI 1PACK (ISI 15 BUTIR)'});frozenset({'GULA PASIR 1KG'});0.07253463732681337;0.04156479217603912;0.0057049714751426246;0.07865168539325842;1.8922670191672175;0.002690084349089257;1.0402528475162502
21;frozenset({'LAHAP WANITA BERAS PREMIUM 5KG'});frozenset({'GULA PASIR 1KG'});0.02689486552567237;0.04156479217603912;0.0057049714751426246;0.21212121212121213;5.103386809269162;0.004587091978965533;1.2164754560842581
20;frozenset({'GULA PASIR 1KG'});frozenset({'LAHAP WANITA BERAS PREMIUM 5KG'});0.04156479217603912;0.02689486552567237;0.0057049714751426246;0.13725490196078433;5.103386809269163;0.004587091978965533;1.1279173149588797
7;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.012224938875305624;0.014669926650366748;0.0057049714751426246;0.4666666666666667;31.81111111111111;0.0055256325185366745;1.8474938875305624
6;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.014669926650366748;0.012224938875305624;0.0057049714751426246;0.3888888888888889;31.81111111111111;0.0055256325185366745;1.616359190931318
5;frozenset({'DAGING SAPI TENDERLOIN / HAS DALAM 500GR'});frozenset({'DAGING SAPI TENDERLOIN / HAS DALAM 250GR'});0.03178484107579462;0.061124694376528114;0.0057049714751426246;0.1794871794871795;2.9364102564102565;0.003762132778578161;1.1442542787286063
4;frozenset({'DAGING SAPI TENDERLOIN / HAS DALAM 250GR'});frozenset({'DAGING SAPI TENDERLOIN / HAS DALAM 500GR'});0.061124694376528114;0.03178484107579462;0.0057049714751426246;0.09333333333333334;2.9364102564102565;0.003762132778578161;1.0678843664605207
3;frozenset({'DAGING DORI FILLET 500GR'});frozenset({'GULA PASIR 1KG'});0.04482477587612062;0.04156479217603912;0.0057049714751426246;0.1272727272727273;3.0620320855614978;0.0038418389815141393;1.0982070089649552
2;frozenset({'GULA PASIR 1KG'});frozenset({'DAGING DORI FILLET 500GR'});0.04156479217603912;0.04482477587612062;0.0057049714751426246;0.13725490196078433;3.0620320855614978;0.0038418389815141393;1.1071349188708601
45;frozenset({'DAGING DORI FILLET 500GR'});frozenset({'SALMON FILLET PREMIUM ONS'});0.04482477587612062;0.02444987775061125;0.0057049714751426246;0.1272727272727273;5.205454545454546;0.0046090111847729275;1.117817848410758
